"Symbol","Opening direction","Closing time (UTC+0)","Entry price","Closing price","Closing Quantity","Net €","Balance €"
"BTCUSD","Buy","02/03/2026 14:47:44.584","65377.26","66783.49","0.09 Lots","104.73","10 104.73"
"BTCUSD","Buy","03/03/2026 12:06:27.766","66412.10","67343.30","0.13 Lots","99.55","10 204.28"
"EURUSD","Buy","06/03/2026 11:43:59.950","1.15810","1.15643","0.40 Lots","-59.48","10 144.80"
"BTCUSD","Buy","06/03/2026 19:26:28.473","68027.18","68116.16","0.09 Lots","3.46","10 148.26"
"BTCUSD","Sell","10/03/2026 15:00:12.370","69509.75","71522.20","0.03 Lots","-53.01","10 095.25"
"XAUUSD","Sell","10/03/2026 15:33:21.750","5190.87","5232.45","0.02 Lots","-71.52","10 023.73"
